MODEL,MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL,FUEL CONSUMPTION*,,,,CO2 EMISSIONS ,,
YEAR,,# = high output engine,,(L),,,TYPE,CITY (L/100 km),HWY (L/100 km),COMB (L/100 km),COMB (mpg),(g/km),,
2013,BMW,335i xDRIVE COUPE,SUBCOMPACT,3.0,6,A6,Z,12.9,8.8,11.0,26,253,,
2013,BMW,335i xDRIVE COUPE,SUBCOMPACT,3.0,6,M6,Z,12.2,8.6,10.6,27,244,,
2013,BMW,335is CABRIOLET,SUBCOMPACT,3.0,6,AM7,Z,13.9,10.1,12.2,23,281,,
2013,BMW,335is CABRIOLET,SUBCOMPACT,3.0,6,M6,Z,13.1,8.9,11.2,25,258,,
2013,BMW,335is COUPE,SUBCOMPACT,3.0,6,AM7,Z,13.9,10.1,12.2,23,281,,
2013,BMW,335is COUPE,SUBCOMPACT,3.0,6,M6,Z,13.1,8.9,11.2,25,258,,
2013,BMW,528i,MID-SIZE,2.0,4,A8,Z,9.8,6.8,8.5,33,196,,
2013,BMW,528i xDRIVE,MID-SIZE,2.0,4,A8,Z,10.3,7.2,8.9,32,205,,
2013,BMW,535i xDRIVE,MID-SIZE,3.0,6,A8,Z,11.2,7.9,9.7,29,223,,
2013,BMW,535i xDRIVE GRAN TURISMO,FULL-SIZE,3.0,6,A8,Z,12.7,8.9,11.0,26,253,,
2013,BMW,550i xDRIVE,MID-SIZE,4.4,8,A8,Z,14.8,9.8,12.6,22,290,,
2013,BMW,550i xDRIVE GRAN TURISMO,FULL-SIZE,4.4,8,A8,Z,14.5,9.8,12.4,23,285,,
2013,BMW,650i xDRIVE CABRIOLET,COMPACT,4.4,8,A8,Z,14.5,9.8,12.4,23,285,,
2013,BMW,650i xDRIVE COUPE,COMPACT,4.4,8,A8,Z,14.8,9.8,12.6,22,290,,
2013,BMW,650i xDRIVE GRAN COUPE,MID-SIZE,4.4,8,A8,Z,14.5,9.8,12.4,23,285,,
2013,BMW,740Li xDRIVE,FULL-SIZE,3.0,6,A8,Z,12.7,8.9,11.0,26,253,,
2013,BMW,750i xDRIVE,FULL-SIZE,4.4,8,A8,Z,14.5,9.8,12.4,23,285,,
2013,BMW,750Li xDRIVE,FULL-SIZE,4.4,8,A8,Z,14.5,9.8,12.4,23,285,,
2013,BMW,760Li,FULL-SIZE,6.0,12,A8,Z,18.7,11.5,15.5,18,357,,
2013,BMW,ACTIVEHYBRID 3,COMPACT,3.0,6,A8,Z,9.3,7.1,8.3,34,191,,
2013,BMW,ACTIVEHYBRID 5,MID-SIZE,3.0,6,A8,Z,10.5,7.9,9.3,30,214,,
2013,BMW,ACTIVEHYBRID 7L,FULL-SIZE,3.0,6,A8,Z,10.6,7.9,9.4,30,216,,
2013,BMW,ALPINA B7 xDRIVE,FULL-SIZE,4.4,8,A8,Z,14.5,9.8,12.4,23,285,,
2013,BMW,M3 CABRIOLET,SUBCOMPACT,4.0,8,AM7,Z,17.4,11.9,14.9,19,343,,
2013,BMW,M3 CABRIOLET,SUBCOMPACT,4.0,8,M6,Z,17.4,11.9,14.9,19,343,,
2013,BMW,M3 COUPE,SUBCOMPACT,4.0,8,AM7,Z,17.1,11.7,14.7,19,338,,
2013,BMW,M3 COUPE,SUBCOMPACT,4.0,8,M6,Z,16.9,11.4,14.4,20,331,,
2013,BMW,M5,MID-SIZE,4.4,8,AM7,Z,14.9,10.2,12.8,22,294,,
2013,BMW,M5,MID-SIZE,4.4,8,M6,Z,16.1,10.9,13.7,21,315,,
2013,BMW,M6 CABRIOLET,COMPACT,4.4,8,AM7,Z,14.9,10.2,12.8,22,294,,
2013,BMW,M6 CABRIOLET,COMPACT,4.4,8,M6,Z,16.1,10.9,13.7,21,315,,
2013,BMW,M6 COUPE,COMPACT,4.4,8,AM7,Z,14.9,10.2,12.8,22,294,,
2013,BMW,M6 COUPE,COMPACT,4.4,8,M6,Z,16.1,10.9,13.7,21,315,,
2013,BMW,X1 xDRIVE28i,SUV - SMALL,2.0,4,A8,Z,10.3,7.2,8.9,32,205,,
2013,BMW,X1 xDRIVE35i,SUV - SMALL,3.0,6,A6,Z,12.9,8.8,11.0,26,253,,
2013,BMW,X3 xDRIVE28i,SUV - SMALL,2.0,4,A8,Z,10.9,8.3,9.7,29,223,,
2013,BMW,X3 xDRIVE35i,SUV - SMALL,3.0,6,A8,Z,12.6,9.1,11.0,26,253,,
2013,BMW,X5 M,SUV - STANDARD,4.4,8,A6,Z,19.0,14.1,16.8,17,386,,
2013,BMW,X5 xDRIVE35d,SUV - STANDARD,3.0,6,A6,D,12.1,8.9,10.7,26,289,,
2013,BMW,X5 xDRIVE35i,SUV - STANDARD,3.0,6,A8,Z,14.7,10.2,12.7,22,292,,
2013,BMW,X5 xDRIVE50i,SUV - STANDARD,4.4,8,A8,Z,17.0,11.7,14.6,19,336,,
2013,BMW,X6 M,SUV - STANDARD,4.4,8,A6,Z,19.0,14.1,16.8,17,386,,
2013,BMW,X6 xDRIVE35i,SUV - STANDARD,3.0,6,A8,Z,14.7,10.2,12.7,22,292,,
2013,BMW,X6 xDRIVE50i,SUV - STANDARD,4.4,8,A8,Z,17.0,11.7,14.6,19,336,,
2013,BMW,Z4 sDRIVE28i,TWO-SEATER,2.0,4,A8,Z,10.8,7.1,9.1,31,209,,
2013,BMW,Z4 sDRIVE28i,TWO-SEATER,2.0,4,M6,Z,10.3,6.7,8.7,32,200,,
2013,BMW,Z4 sDRIVE35i,TWO-SEATER,3.0,6,AM7,Z,13.9,10.1,12.2,23,281,,
2013,BMW,Z4 sDRIVE35i,TWO-SEATER,3.0,6,M6,Z,12.7,9.0,11.0,26,253,,
2013,BMW,Z4 sDRIVE35is,TWO-SEATER,3.0,6,AM7,Z,13.9,10.1,12.2,23,281,,
2013,BUICK,ENCLAVE,SUV - STANDARD,3.6,6,A6,X,14.3,9.9,12.3,23,283,,
2013,BUICK,ENCLAVE AWD,SUV - STANDARD,3.6,6,A6,X,14.6,10.2,12.6,22,290,,
2013,BUICK,ENCORE,SUV - SMALL,1.4,4,AS6,X,9.5,7.2,8.4,34,193,,
2013,BUICK,ENCORE AWD,SUV - SMALL,1.4,4,AS6,X,10.2,8.0,9.2,31,212,,
2013,BUICK,LACROSSE,MID-SIZE,3.6,6,AS6,X,13.7,8.7,11.5,25,265,,
2013,BUICK,LACROSSE,MID-SIZE,3.6,6,AS6,E,18.4,12.2,15.6,18,250,,
2013,BUICK,LACROSSE AWD,MID-SIZE,3.6,6,AS6,X,14.2,9.3,11.9,24,274,,
2013,BUICK,LACROSSE AWD,MID-SIZE,3.6,6,AS6,E,19.3,12.9,16.4,17,262,,
2013,BUICK,LACROSSE eASSIST,MID-SIZE,2.4,4,AS6,X,9.6,6.5,8.2,34,189,,
2013,BUICK,REGAL,MID-SIZE,2.0,4,AS6,Z,12.9,8.2,10.8,26,248,,
2013,BUICK,REGAL,MID-SIZE,2.0,4,AS6,E,18.1,11.8,15.2,19,243,,
2013,BUICK,REGAL,MID-SIZE,2.0,4,M6,Z,11.9,7.4,9.9,29,228,,
2013,BUICK,REGAL,MID-SIZE,2.0,4,M6,E,15.7,10.5,13.4,21,214,,
2013,BUICK,REGAL eASSIST,MID-SIZE,2.4,4,AS6,X,9.6,6.5,8.2,34,189,,
2013,BUICK,REGAL GS,MID-SIZE,2.0,4,AS6,Z,12.5,8.8,10.8,26,248,,
2013,BUICK,REGAL GS,MID-SIZE,2.0,4,M6,Z,12.6,8.8,10.9,26,251,,
2013,BUICK,VERANO,COMPACT,2.0,4,AS6,Z,11.5,7.9,9.9,29,228,,
2013,BUICK,VERANO,COMPACT,2.0,4,M6,Z,11.6,7.5,9.8,29,225,,
2013,BUICK,VERANO,COMPACT,2.4,4,AS6,X,11.3,7.4,9.5,30,219,,
2013,BUICK,VERANO,COMPACT,2.4,4,AS6,E,15.6,10.2,13.2,21,211,,
2013,CADILLAC,ATS,COMPACT,2.0,4,AS6,Z,11.3,7.5,9.6,29,221,,
2013,CADILLAC,ATS,COMPACT,2.0,4,M6,Z,12.0,8.0,10.2,28,235,,
2013,CADILLAC,ATS,COMPACT,2.5,4,AS6,X,10.5,7.2,9.0,31,207,,
2013,CADILLAC,ATS,COMPACT,3.6,6,AS6,X,12.6,8.5,10.7,26,246,,
2013,CADILLAC,ATS,COMPACT,3.6,6,AS6,E,16.5,11.3,14.2,20,227,,
2013,CADILLAC,ATS AWD,COMPACT,2.0,4,AS6,Z,11.7,7.9,10.0,28,230,,
2013,CADILLAC,ATS AWD,COMPACT,3.6,6,AS6,X,13.2,8.9,11.3,25,260,,
2013,CADILLAC,ATS AWD,COMPACT,3.6,6,AS6,E,17.3,11.9,14.9,19,238,,
2013,CADILLAC,CTS,MID-SIZE,3.0,6,AS6,X,12.8,8.6,10.9,26,251,,
2013,CADILLAC,CTS,MID-SIZE,3.0,6,M6,X,14.9,9.1,12.3,23,283,,
2013,CADILLAC,CTS,MID-SIZE,3.6,6,AS6,X,12.9,8.1,10.7,26,246,,
2013,CADILLAC,CTS AWD,MID-SIZE,3.0,6,AS6,X,13.4,9.0,11.4,25,262,,
2013,CADILLAC,CTS AWD,MID-SIZE,3.6,6,AS6,X,13.2,8.8,11.2,25,258,,
2013,CADILLAC,CTS SPORT WAGON,STATION WAGON - SMALL,3.0,6,AS6,X,13.3,9.0,11.4,25,262,,
2013,CADILLAC,CTS SPORT WAGON,STATION WAGON - SMALL,3.6,6,AS6,X,13.3,8.9,11.3,25,260,,
2013,CADILLAC,CTS SPORT WAGON AWD,STATION WAGON - SMALL,3.0,6,AS6,X,13.4,9.0,11.4,25,262,,
2013,CADILLAC,CTS SPORT WAGON AWD,STATION WAGON - SMALL,3.6,6,AS6,X,13.2,8.8,11.2,25,258,,
2013,CADILLAC,CTS-V,MID-SIZE,6.2,8,AS6,Z,20.0,13.1,16.9,17,389,,
2013,CADILLAC,CTS-V,MID-SIZE,6.2,8,M6,Z,16.6,12.5,14.7,19,338,,
2013,CADILLAC,CTS-V SPORT WAGON,STATION WAGON - SMALL,6.2,8,AS6,Z,20.0,13.1,16.9,17,389,,
2013,CADILLAC,CTS-V SPORT WAGON,STATION WAGON - SMALL,6.2,8,M6,Z,16.6,12.5,14.7,19,338,,
2013,CADILLAC,ESCALADE AWD,SUV - STANDARD,6.2,8,A6,Z,17.0,11.8,14.7,19,338,,
2013,CADILLAC,ESCALADE AWD,SUV - STANDARD,6.2,8,A6,E,23.3,16.1,20.1,14,322,,
2013,CADILLAC,ESCALADE ESV AWD,SUV - STANDARD,6.2,8,A6,Z,18.8,13.4,16.4,17,377,,
2013,CADILLAC,ESCALADE ESV AWD,SUV - STANDARD,6.2,8,A6,E,25.7,17.8,22.2,13,355,,
2013,CADILLAC,ESCALADE HYBRID 4WD,SUV - STANDARD,6.0,8,AV,X,11.8,10.1,11.0,26,253,,
2013,CADILLAC,SRX,SUV - STANDARD,3.6,6,AS6,X,14.3,9.8,12.3,23,283,,
2013,CADILLAC,SRX,SUV - STANDARD,3.6,6,AS6,E,18.9,13.0,16.3,17,261,,
2013,CADILLAC,SRX AWD,SUV - STANDARD,3.6,6,AS6,X,14.8,10.4,12.8,22,294,,
2013,CADILLAC,SRX AWD,SUV - STANDARD,3.6,6,AS6,E,19.7,13.9,17.1,17,274,,
2013,CADILLAC,XTS,FULL-SIZE,3.6,6,AS6,X,13.6,8.6,11.3,25,260,,
2013,CADILLAC,XTS AWD,FULL-SIZE,3.6,6,AS6,X,14.0,9.1,11.8,24,271,,
2013,CHEVROLET,AVALANCHE,PICKUP TRUCK - STANDARD,5.3,8,A6,X,16.0,11.1,13.8,20,317,,
2013,CHEVROLET,AVALANCHE,PICKUP TRUCK - STANDARD,5.3,8,A6,E,21.5,14.6,18.4,15,294,,
2013,CHEVROLET,AVALANCHE 4WD,PICKUP TRUCK - STANDARD,5.3,8,A6,X,16.0,11.1,13.8,20,317,,
2013,CHEVROLET,AVALANCHE 4WD,PICKUP TRUCK - STANDARD,5.3,8,A6,E,21.5,14.6,18.4,15,294,,
2013,CHEVROLET,CAMARO,COMPACT,3.6,6,AS6,X,12.9,8.1,10.7,26,246,,
2013,CHEVROLET,CAMARO,COMPACT,3.6,6,M6,X,13.9,8.5,11.5,25,265,,
2013,CHEVROLET,CAMARO 2LS,COMPACT,3.6,6,A6,X,12.7,7.9,10.5,27,242,,
2013,CHEVROLET,CAMARO SS,COMPACT,6.2,8,AS6,Z,15.2,9.7,12.7,22,292,,
2013,CHEVROLET,CAMARO SS,COMPACT,6.2,8,M6,Z,15.0,9.8,12.7,22,292,,
2013,CHEVROLET,CAMARO ZL1,COMPACT,6.2,8,AS6,Z,20.0,13.1,16.9,17,389,,
2013,CHEVROLET,CAMARO ZL1,COMPACT,6.2,8,M6,Z,16.6,12.5,14.7,19,338,,
2013,CHEVROLET,CORVETTE,TWO-SEATER,6.2,8,AS6,Z,15.9,10.1,13.2,21,304,,
2013,CHEVROLET,CORVETTE,TWO-SEATER,6.2,8,M6,Z,14.5,9.1,12.1,23,278,,
2013,CHEVROLET,CORVETTE Z06/427,TWO-SEATER,7.0,8,M6,Z,16.0,9.8,13.2,21,304,,
2013,CHEVROLET,CORVETTE ZR1,TWO-SEATER,6.2,8,M6,Z,16.8,11.0,14.2,20,327,,
2013,CHEVROLET,CRUZE,MID-SIZE,1.4,4,AS6,X,9.1,6.3,7.8,36,179,,
2013,CHEVROLET,CRUZE,MID-SIZE,1.4,4,M6,X,9.1,6.3,7.8,36,179,,
2013,CHEVROLET,CRUZE,MID-SIZE,1.8,4,AS6,X,10.5,6.7,8.8,32,202,,
2013,CHEVROLET,CRUZE,MID-SIZE,1.8,4,M6,X,9.5,6.5,8.1,35,186,,
2013,CHEVROLET,CRUZE ECO,MID-SIZE,1.4,4,A6,X,9.1,6.0,7.7,37,177,,
2013,CHEVROLET,CRUZE ECO,MID-SIZE,1.4,4,M6,X,8.4,5.6,7.1,40,163,,
2013,CHEVROLET,EQUINOX,SUV - SMALL,2.4,4,A6,X,10.5,7.3,9.1,31,209,,
2013,CHEVROLET,EQUINOX,SUV - SMALL,3.6,6,A6,X,13.9,9.6,12.0,24,276,,
2013,CHEVROLET,EQUINOX,SUV - SMALL,3.6,6,A6,E,18.8,13.1,16.3,17,261,,
2013,CHEVROLET,EQUINOX AWD,SUV - SMALL,2.4,4,A6,X,11.5,8.2,10.0,28,230,,
2013,CHEVROLET,EQUINOX AWD,SUV - SMALL,3.6,6,A6,X,14.8,9.9,12.6,22,290,,
2013,CHEVROLET,EQUINOX AWD,SUV - SMALL,3.6,6,A6,E,19.8,13.6,17.0,17,272,,
2013,CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,4.3,6,A4,X,15.7,11.9,14.0,20,322,,
2013,CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,5.3,8,A4,X,18.0,13.4,15.9,18,366,,
2013,CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,5.3,8,A4,E,23.5,17.7,20.9,14,334,,
2013,CHEVROLET,EXPRESS 1500 CARGO AWD,VAN - CARGO,5.3,8,A4,X,18.3,14.2,16.4,17,377,,
